UNDERLYING                          ,SYMBOL    ,DEC-18     ,JAN-19     ,FEB-19     ,MAR-19     ,JUN-19     ,SEP-19     ,DEC-19     ,JUN-20     ,DEC-20     ,JUN-21     ,DEC-21     ,JUN-22     ,DEC-22     ,JUN-23     ,           
SREI INFRASTRUCTURE FINAN           ,SREINFRA  ,7000       ,12000      ,12000      ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
SUN TV NETWORK LIMITED              ,SUNTV     ,1000       ,1000       ,1000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
TATA GLOBAL BEVERAGES LTD           ,TATAGLOBAL,2250       ,2250       ,2250       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
TATA MOTORS LIMITED                 ,TATAMOTORS,1500       ,2000       ,2000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
TECH MAHINDRA LIMITED               ,TECHM     ,1200       ,1200       ,1200       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BOSCH LIMITED                       ,BOSCHLTD  ,30         ,30         ,30         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BHARAT PETROLEUM CORP  LT           ,BPCL      ,1800       ,1800       ,1800       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
EXIDE INDUSTRIES LTD                ,EXIDEIND  ,2000       ,2000       ,2000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
VODAFONE IDEA LIMITED               ,IDEA      ,7000       ,12000      ,12000      ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
IFCI LTD                            ,IFCI      ,25000      ,35000      ,35000      ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
LIC HOUSING FINANCE LTD             ,LICHSGFIN ,1100       ,1100       ,1100       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MARICO LIMITED                      ,MARICO    ,2600       ,2600       ,2600       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
REPCO HOME FINANCE LTD              ,REPCOHOME ,900        ,1100       ,1100       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
SHRIRAM TRANSPORT FIN CO.           ,SRTRANSFIN,600        ,600        ,600        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
TATA COMMUNICATIONS LTD             ,TATACOMM  ,800        ,1000       ,1000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NHPC LTD                            ,NHPC      ,27000      ,27000      ,27000      ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
RELIANCE COMMUNICATIONS L           ,RCOM      ,28000      ,34000      ,34000      ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GAIL (INDIA) LTD                    ,GAIL      ,2667       ,2667       ,2667       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
LUPIN LIMITED                       ,LUPIN     ,700        ,700        ,700        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ASHOK LEYLAND LTD                   ,ASHOKLEY  ,4000       ,4000       ,4000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
JAIPRAKASH ASSOCIATES LTD           ,JPASSOCIAT,34000      ,55000      ,55000      ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
SUZLON ENERGY LIMITED               ,SUZLON    ,45000      ,76000      ,76000      ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
